run,layer,lag_dumps,lag_steps,t,c_forward,c_backward,asymmetry
A,6,-3,-75,200,0.729237049084104,0.8510428899143767,-0.12180584083027268
A,6,-3,-75,225,0.7465064563169469,0.8786792729810851,-0.13217281666413816
A,6,-3,-75,250,0.7639429334778253,0.8840512961149444,-0.1201083626371191
A,6,-3,-75,275,0.7684133447889782,0.8749962584353482,-0.10658291364637007
A,6,-3,-75,300,0.7269943138850734,0.8220847208352783,-0.09509040695020488
A,6,-3,-75,325,0.7074930639640966,0.808932027724893,-0.10143896376079642
A,6,-3,-75,350,0.6687440933752602,0.7500038361646186,-0.08125974278935844
A,6,-3,-75,375,0.6725152267839432,0.7343107053190966,-0.061795478535153436
A,6,-3,-75,400,0.7025727279022159,0.7823408269530158,-0.07976809905079985
A,6,-3,-75,425,0.6629984045215117,0.7247078347305937,-0.06170943020908204
A,6,-2,-50,125,0.7352947919361559,0.9216348198426595,-0.1863400279065036
A,6,-2,-50,150,0.8359639159623633,0.9137730063249524,-0.0778090903625891
A,6,-2,-50,175,0.833024254071287,0.8920868520768542,-0.059062598005567235
A,6,-2,-50,200,0.8045038829233233,0.9026955139989108,-0.09819163107558748
A,6,-2,-50,225,0.7865444636072346,0.8905749659179499,-0.10403050231071531
A,6,-2,-50,250,0.7679721280974845,0.8838110067257549,-0.11583887862827036
A,6,-2,-50,275,0.7895528225115203,0.870730988709386,-0.08117816619786578
A,6,-2,-50,300,0.7600554669864882,0.8129029622533221,-0.052847495266833966
A,6,-2,-50,325,0.7429248929207257,0.7739368936774049,-0.031012000756679203
A,6,-2,-50,350,0.7128324957951879,0.7607462579912191,-0.04791376219603116
A,6,-2,-50,375,0.6703334514559368,0.7373763626059572,-0.06704291115002037
A,6,-2,-50,400,0.7495284420180698,0.80532016104266,-0.055791719024590236
A,6,-2,-50,425,0.6479409625823086,0.721945912492351,-0.07400494991004236
A,6,-2,-50,450,0.7093198879210556,0.7689362581505932,-0.059616370229537585
A,6,-1,-25,100,0.8732186741698772,0.9620655421254738,-0.0888468679555966
A,6,-1,-25,125,0.8525622329892323,0.9516050054766286,-0.09904277248739635
A,6,-1,-25,150,0.8560949247404281,0.9443226910393928,-0.08822776629896467
A,6,-1,-25,175,0.8978077025518358,0.9293199936119926,-0.03151229106015674
A,6,-1,-25,200,0.8195908097692068,0.8861473083173,-0.0665564985480932
