run,layer,pair,unit_x,unit_y,rho,c_x,c_y,kappa,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
a,7,identity:tail,u0,,0.7602789203009377,0.8019577450448226,nan,1.054820439750437,nan,nan,nan
a,7,identity:strided,u1,,0.8867151681785804,0.7831911023094977,nan,0.8832499210747307,nan,nan,nan
a,7,identity:spread,u0,,0.948984477248593,0.8320680235333718,nan,0.8767983496903985,nan,nan,nan
a,8,tail-strided,u0,u1,0.6750145050577364,0.8047353015125723,0.7184144504374059,0.9254596825004676,0.81335581696674,1.0125965266713544,0.0
a,8,tail-spread,u0,u0,0.17349511270976134,0.8047353015125723,0.27091627179839356,1.1209866719524726,0.8747958197846268,2.7934527249304923,0.0952
a,8,tail-spread,u0,u1,0.12942557962262408,0.8047353015125723,0.2166968535159907,1.1607608981856044,0.8416086372379621,3.1354431121670485,0.1567
a,8,strided-spread,u1,u0,0.40500250652367153,0.7184144504374059,0.27091627179839356,0.6932281971037952,0.4035110961049371,0.8786851285772169,0.0011
a,8,strided-spread,u1,u1,0.38343663655098215,0.7184144504374059,0.2166968535159907,0.6371871796157119,0.3088576988716573,0.8563566135409489,0.0055
a,8,identity:tail,u0,,0.5377387332978364,0.8047353015125723,nan,1.4965172707149124,nan,nan,nan
a,8,identity:strided,u1,,1.2552833992783394,0.7184144504374059,nan,0.5723125557546777,nan,nan,nan
a,8,identity:spread,u0,,0.3226383036344676,0.27091627179839356,nan,0.83969035525716,nan,nan,nan
a,9,tail-strided,u0,u1,0.6935609814632435,0.7989108195243924,0.6396848119990836,0.8584002685853941,0.7181234740730841,0.9501115557349871,0.0
a,9,tail-spread,u0,u0,0.7641540886074849,0.7989108195243924,0.7837906463813578,0.9052295427754329,0.8117931284969264,0.9832704595294957,0.0
a,9,tail-spread,u0,u1,0.7096851253566631,0.7989108195243924,0.6932184520189687,0.8833877185825516,0.761728023380654,0.9752324681249345,0.0
a,9,strided-spread,u1,u0,0.866550762439656,0.6396848119990836,0.7837906463813578,0.7606520736183662,0.6172629858428754,0.8622172942935148,0.0
a,9,strided-spread,u1,u1,0.9280508137974304,0.6396848119990836,0.6932184520189687,0.6912453118420231,0.5353772868370756,0.8275566615774288,0.0
a,9,identity:tail,u0,,0.782052290731219,0.7989108195243924,nan,1.0215567795056397,nan,nan,nan
a,9,identity:strided,u1,,0.8868473242559829,0.6396848119990836,nan,0.7213020713974017,nan,nan,nan
a,9,identity:spread,u0,,0.9771138038519148,0.7837906463813578,nan,0.8021487807167895,nan,nan,nan
b,2,tail-strided,u0,u1,0.9064869838718346,0.7560034682663361,0.8363952924633342,0.8351930997424659,0.6721476474234759,0.9207236553697253,0.0
b,2,tail-spread,u0,u0,0.8718523426269361,0.7560034682663361,0.8471827387652533,0.8570950240789436,0.7629072587219331,0.9645426074721396,0.0
b,2,tail-spread,u0,u1,0.877830530893094,0.7560034682663361,0.8621642875207788,0.8616910219039499,0.7342403626663755,0.9480832708184119,0.0
b,2,strided-spread,u1,u0,0.9617807647773167,0.8363952924633342,0.8471827387652533,0.8583339597051529,0.7843865159151058,0.9254536036140537,0.0
b,2,strided-spread,u1,u1,0.977202649951676,0.8363952924633342,0.8621642875207788,0.8590303079167666,0.7479382779513842,0.9258875379575823,0.0
b,2,identity:tail,u0,,0.9064924934360623,0.7560034682663361,nan,0.8339875660753714,nan,nan,nan
b,2,identity:strided,u1,,0.9999939221071684,0.8363952924633342,nan,0.8364003760151839,nan,nan,nan
b,2,identity:spread,u0,,0.9617866104132615,0.8471827387652533,nan,0.8808427249795409,nan,nan,nan
b,3,tail-strided,u0,u1,0.7367818575057212,0.5581238456273604,0.6566636327127792,0.7052893237509407,0.499877781819072,0.8537869393721123,0.0
b,3,tail-spread,u0,u0,0.5941167915302773,0.5581238456273604,0.7250040938920408,0.8252767400401729,0.6307749355971458,0.9871377212781346,0.0
b,3,tail-spread,u0,u1,0.5236268291403956,0.5581238456273604,0.6082423597076666,0.8051794365686021,0.5909580341810473,1.0139846122743092,0.0
b,3,strided-spread,u1,u0,0.8659132749195083,0.6566636327127792,0.7250040938920408,0.7414886592589256,0.5850172022098346,0.8560675112305188,0.0
b,3,strided-spread,u1,u1,0.8370012718591981,0.6566636327127792,0.6082423597076666,0.6907911335359783,0.494039369738716,0.8278687365357639,0.0
b,3,identity:tail,u0,,0.7109976680342702,0.5581238456273604,nan,0.7849868863430066,nan,nan,nan
b,3,identity:strided,u1,,1.0362648017436369,0.6566636327127792,nan,0.633683235798288,nan,nan,nan
b,3,identity:spread,u0,,0.8356100423969895,0.7250040938920408,nan,0.8676344910986589,nan,nan,nan
