run,layer,n_steps,lag_dumps,lag_steps,c_forward,c_backward,asymmetry,pairs
B,5,17,1,25,0.7936742226306274,0.7401543828674522,0.0535198397631752,15
B,5,17,2,50,0.7933519254865333,0.6918884280771581,0.10146349740937521,13
B,5,17,3,75,0.7820324327931136,0.647576124325857,0.13445630846725665,11
B,5,17,4,100,0.7596562018466992,0.60928486568812,0.15037133615857923,9
A,6,18,-4,-100,0.6979349760866421,0.7928860897149554,-0.09495111362831332,10
A,6,18,-3,-75,0.726649303009383,0.8153012232865694,-0.08865192027718638,12
A,6,18,-2,-50,0.7532708470563672,0.832605140129284,-0.07933429307291684,14
A,6,18,-1,-25,0.7820482354932896,0.8282373909609522,-0.04618915546766256,16
A,6,18,0,0,0.8092068382527677,0.8092068382527677,0.0,18
A,6,18,1,25,0.8282373909609522,0.7820482354932896,0.04618915546766256,16
A,6,18,2,50,0.832605140129284,0.7532708470563672,0.07933429307291684,14
A,6,18,3,75,0.8153012232865694,0.726649303009383,0.08865192027718638,12
A,6,18,4,100,0.7928860897149554,0.6979349760866421,0.09495111362831332,10
B,6,17,-4,-100,0.6642867254556036,0.7600177335123314,-0.09573100805672774,9
B,6,17,-3,-75,0.6842637077832608,0.7794685231914055,-0.09520481540814463,11
B,6,17,-2,-50,0.7067403083870917,0.7931166100442636,-0.08637630165717192,13
B,6,17,-1,-25,0.7455324741450001,0.7961114854944419,-0.05057901134944176,15
B,6,17,0,0,0.7818511355062367,0.7818511355062367,0.0,17
B,6,17,1,25,0.7961114854944419,0.7455324741450001,0.05057901134944176,15
B,6,17,2,50,0.7931166100442636,0.7067403083870917,0.08637630165717192,13
B,6,17,3,75,0.7794685231914055,0.6842637077832608,0.09520481540814463,11
B,6,17,4,100,0.7600177335123314,0.6642867254556036,0.09573100805672774,9
A,7,18,-4,-100,0.7303916747623391,0.8089631689928186,-0.07857149423047949,10
A,7,18,-3,-75,0.7508166760841255,0.8492421752355059,-0.09842549915138044,12
A,7,18,-2,-50,0.775765775861343,0.8668099236162844,-0.0910441477549414,14
A,7,18,-1,-25,0.8102678177202726,0.8658770311485328,-0.055609213428260196,16
A,7,18,0,0,0.8425624530325924,0.8425624530325924,0.0,18
A,7,18,1,25,0.8658770311485328,0.8102678177202726,0.055609213428260196,16
A,7,18,2,50,0.8668099236162844,0.775765775861343,0.0910441477549414,14
A,7,18,3,75,0.8492421752355059,0.7508166760841255,0.09842549915138044,12
A,7,18,4,100,0.8089631689928186,0.7303916747623391,0.07857149423047949,10
B,7,18,-4,-100,0.584470658499687,0.782035064919888,-0.1975644064202009,10
B,7,18,-3,-75,0.6265921859139274,0.8068466631958983,-0.18025447728197086,12
B,7,18,-2,-50,0.6740389389133806,0.8147594948955402,-0.1407205559821596,14
B,7,18,-1,-25,0.7326494879601476,0.808653498523912,-0.07600401056376438,16
B,7,18,0,0,0.7819823549482975,0.7819823549482975,0.0,18
B,7,18,1,25,0.808653498523912,0.7326494879601476,0.07600401056376438,16
B,7,18,2,50,0.8147594948955402,0.6740389389133806,0.1407205559821596,14
B,7,18,3,75,0.8068466631958983,0.6265921859139274,0.18025447728197086,12
B,7,18,4,100,0.782035064919888,0.584470658499687,0.1975644064202009,10
A,8,17,-4,-100,0.6950461839306202,0.77279357948837,-0.07774739555774979,9
A,8,17,-3,-75,0.7211440272205739,0.8124555272360232,-0.0913115000154493,11
A,8,17,-2,-50,0.7494562648049097,0.8357618433606192,-0.08630557855570953,13
A,8,17,-1,-25,0.7815373182493013,0.8356126751710845,-0.054075356921783224,15
A,8,17,0,0,0.8191910325396539,0.8191910325396539,0.0,17
A,8,17,1,25,0.8356126751710845,0.7815373182493013,0.054075356921783224,15
