run,layer,pair,unit_x,unit_y,rho,c_x,c_y,kappa,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
a,8,identity:spread,u0,,0.8754055494426183,0.6863026438964285,nan,0.7839825145424381,nan,nan,nan
a,9,tail-strided,u0,u1,0.7309359362051286,0.8194299101400271,0.6418815174073847,0.8482887046574802,0.7091226741327957,0.9311110078729239,0.0
a,9,tail-spread,u0,u0,0.8848996064401863,0.8194299101400271,0.817229925407304,0.8699234454618593,0.7657131237334961,0.9348889532580029,0.0
a,9,tail-spread,u0,u1,0.8003923023616211,0.8194299101400271,0.7121161754967893,0.8538466519591125,0.7261264490883954,0.9320365489562069,0.0
a,9,strided-spread,u1,u0,0.8837463456650994,0.6418815174073847,0.817229925407304,0.770434550091419,0.6308693235230685,0.8707217240541283,0.0
a,9,strided-spread,u1,u1,0.9376683982346409,0.6418815174073847,0.7121161754967893,0.6981973899272902,0.5413251446702402,0.8325841842729274,0.0
a,9,identity:tail,u0,,0.8555055723214369,0.8194299101400271,nan,0.957831178020831,nan,nan,nan
a,9,identity:strided,u1,,0.8543906198316333,0.6418815174073847,nan,0.7512740689192893,nan,nan,nan
a,9,identity:spread,u0,,1.0343586705566254,0.817229925407304,nan,0.7900836998519317,nan,nan,nan
b,2,tail-strided,u0,u1,0.929894992053921,0.8152604103199081,0.824541515670194,0.8502320771518453,0.6482352485823563,0.9327593634163284,0.0
b,2,tail-spread,u0,u0,0.910985357317077,0.8152604103199081,0.8215859738093209,0.8574701028006109,0.7018724459493706,0.9366083662089404,0.0
b,2,tail-spread,u0,u1,0.9234885132052448,0.8152604103199081,0.8361526792136503,0.8591623168966573,0.6758474928460861,0.9380556763701932,0.0
b,2,strided-spread,u1,u0,0.9598182341570701,0.824541515670194,0.8215859738093209,0.8401140999649787,0.703344875794733,0.923383068397726,0.0
b,2,strided-spread,u1,u1,0.9788365192130932,0.824541515670194,0.8361526792136503,0.839255071821913,0.6596904073624847,0.9226177491228762,0.0
b,2,identity:tail,u0,,0.9394596991777573,0.8152604103199081,nan,0.8677971083096465,nan,nan,nan
b,2,identity:strided,u1,,0.9898189276961985,0.824541515670194,nan,0.8330225787754055,nan,nan,nan
