step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
225,6,True,,A,2.1079,1.749,0.7969981281517442,0.8535041118509331,0.7095345344598298,0.8716877188848009,0.6784016889844249,0.8794948204796028,0.7780501932016398,0.9461067132189348,0
225,7,True,,A,1.9858,1.8481,0.6465558100855648,0.8804463091928857,0.6641172558696018,0.9509787479523798,0.43905269138465236,0.8055523437971503,0.847116404519462,1.0203208212807533,0
225,8,True,,A,2.0234,1.853,0.6970961239813843,0.8003669228965029,0.7006897781939345,0.8969353133877233,0.5138325017770272,0.8376384449945591,0.7990359943036024,0.9725971970923336,0
225,9,True,,A,2.3149,1.8154,0.5853976501011829,0.7600917520705781,0.4248486733597719,0.742719208251591,0.34146288770169175,0.7607857069166057,0.5449012538490742,0.8866463440636788,0
250,2,True,,A,1.5752,1.4053,0.9089711478961002,0.8566370166042164,0.8460407411276525,0.8929332764193243,0.6755144439056869,0.9699291469727207,0.8059388041592491,0.9527336180747412,0
250,3,True,,A,1.5625,1.5977,0.8496862727052178,0.8576682630111852,0.7607735079594401,0.8763105886804533,0.746687435023297,0.9187150455015456,0.8066194143117554,0.9363551460619864,0
250,4,True,,A,1.9648,1.8564,0.6221707238049153,0.8158503988139921,0.6368059422134639,0.9138060581928797,0.42177662808925065,0.8111350645229943,0.8067490985431376,1.0249137347081916,0
250,5,True,,A,2.0454,1.9219,0.6841660326949042,0.805053985197602,0.5979868060872608,0.8388369427135351,0.4524091425284464,0.8279298416051201,0.6969723766187954,0.9498118871000719,0
250,6,True,,A,1.8535,2.1094,0.8001179227304663,0.8587595715616138,0.7136164994583968,0.8751676126255922,0.6626404666566612,0.8865144065817601,0.7996106748242052,0.9380868947826764,0
250,7,True,,A,2.1514,2.5557,0.4516814443468737,0.8356226470371448,0.4665536800207608,0.929051493366814,0.22597868539422689,0.6967299207245181,0.728629569136883,1.1012264703161212,2
250,8,True,,A,2.0215,2.0024,0.697253540386184,0.8064741857736899,0.7065107985126279,0.9039809393248796,0.5376916354252752,0.8201185043821241,0.8149409839320331,0.9685270163392027,0
250,9,True,,A,1.8667,1.9863,0.5779597626401739,0.7687346739563414,0.4506164275028941,0.7741817748290838,0.31932868478957144,0.7707361445181745,0.5686535755879125,0.9131359369050798,3
