unit,run,asset,half,layer,expert,price,bias
a/strided/h1,a,strided,h1,4,28,0.00998714157,0.00685560703
a/strided/h1,a,strided,h1,4,29,0.0037180042,-0.00413835049
a/strided/h1,a,strided,h1,4,30,0.00999314627,0.000858902931
a/strided/h1,a,strided,h1,4,31,-0.00841594198,-0.00413835049
a/strided/h1,a,strided,h1,4,32,-0.00207556495,-0.00113999844
a/strided/h1,a,strided,h1,4,33,-0.134218503,0.00385725498
a/strided/h1,a,strided,h1,4,34,0.0126755328,0.00585615635
a/strided/h1,a,strided,h1,4,35,-0.00458617231,-0.00213944912
a/strided/h1,a,strided,h1,4,36,0.0140710241,0.0088545084
a/strided/h1,a,strided,h1,4,37,0.00622317205,-0.00113999844
a/strided/h1,a,strided,h1,4,38,0.00153434193,-0.00813615322
a/strided/h1,a,strided,h1,4,39,0.00201858404,0.00785505772
a/strided/h1,a,strided,h1,4,40,0.00574390693,-0.00113999844
a/strided/h1,a,strided,h1,4,41,0.0118396516,0.0028578043
a/strided/h1,a,strided,h1,4,42,0.00618083971,-0.00213944912
a/strided/h1,a,strided,h1,4,43,0.00983832775,-0.00113999844
a/strided/h1,a,strided,h1,4,44,0.0132564913,0.00785505772
a/strided/h1,a,strided,h1,4,45,-0.0151035561,-0.000140547752
a/strided/h1,a,strided,h1,4,46,-0.0619459803,-0.00413835049
a/strided/h1,a,strided,h1,4,47,-0.00361545374,-0.00213944912
a/strided/h1,a,strided,h1,4,48,0.0133148577,0.000858902931
a/strided/h1,a,strided,h1,4,49,0.00266615963,0.00585615635
a/strided/h1,a,strided,h1,4,50,0.00366024683,-0.0031388998
a/strided/h1,a,strided,h1,4,51,0.000551136311,-0.00513780117
a/strided/h1,a,strided,h1,4,52,0.0094936342,0.00185835361
a/strided/h1,a,strided,h1,4,53,0.00832275125,-0.0031388998
a/strided/h1,a,strided,h1,4,54,0.0106869433,-0.00113999844
a/strided/h1,a,strided,h1,4,55,0.0124652708,0.00185835361
a/strided/h1,a,strided,h1,4,56,0.00357527203,0.00485670567
a/strided/h1,a,strided,h1,4,57,0.00538070417,0.00785505772
a/strided/h1,a,strided,h1,4,58,-0.000537401897,-0.00113999844
a/strided/h1,a,strided,h1,4,59,0.0021964266,0.0028578043
a/strided/h1,a,strided,h1,4,60,0.00810711282,0.000858902931
a/strided/h1,a,strided,h1,4,61,0.00630127835,0.0028578043
a/strided/h1,a,strided,h1,4,62,0.00838287324,0.00385725498
a/strided/h1,a,strided,h1,4,63,0.0073092497,-0.00613725185
a/strided/h1,a,strided,h1,5,0,0.0114244751,0.0038728714
a/strided/h1,a,strided,h1,5,1,0.0123511359,0.000874519348
a/strided/h1,a,strided,h1,5,2,0.0100678128,0.000874519348
a/strided/h1,a,strided,h1,5,3,0.00672126067,-0.00112438202
a/strided/h1,a,strided,h1,5,4,0.00517068774,-0.00112438202
a/strided/h1,a,strided,h1,5,5,0.00871895947,-0.00112438202
a/strided/h1,a,strided,h1,5,6,0.00618776278,-0.000124931335
a/strided/h1,a,strided,h1,5,7,0.0133977173,0.0038728714
a/strided/h1,a,strided,h1,5,8,0.00306859956,-0.0021238327
a/strided/h1,a,strided,h1,5,9,0.00818167086,-0.00112438202
a/strided/h1,a,strided,h1,5,10,0.00498099224,0.00487232208
a/strided/h1,a,strided,h1,5,11,0.0113933149,-0.000124931335
a/strided/h1,a,strided,h1,5,12,0.0096858085,0.00187397003
a/strided/h1,a,strided,h1,5,13,-0.0902054732,-0.00112438202
a/strided/h1,a,strided,h1,5,14,0.00864279521,-0.00312328339
a/strided/h1,a,strided,h1,5,15,0.00250430097,-0.00412273407
a/strided/h1,a,strided,h1,5,16,0.0123273644,0.00187397003
a/strided/h1,a,strided,h1,5,17,0.00935985655,-0.00412273407
a/strided/h1,a,strided,h1,5,18,-0.00064043101,-0.00412273407
a/strided/h1,a,strided,h1,5,19,0.0110961545,0.0038728714
a/strided/h1,a,strided,h1,5,20,-0.000750405072,-0.00312328339
a/strided/h1,a,strided,h1,5,21,0.00889463601,0.000874519348
a/strided/h1,a,strided,h1,5,22,0.0107378985,0.000874519348
a/strided/h1,a,strided,h1,5,23,0.00186668028,0.000874519348
a/strided/h1,a,strided,h1,5,24,0.0113323151,0.0038728714
a/strided/h1,a,strided,h1,5,25,0.00790494931,0.00187397003
a/strided/h1,a,strided,h1,5,26,0.00960632711,-0.00712108612
a/strided/h1,a,strided,h1,5,27,-0.028103486,0.00287342072
