step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
275,2,True,,A,1.6748,1.4849,0.9203429780911762,0.8823145518624703,0.7855645417884047,0.8678163049987682,0.6781076263014787,0.9740477314542682,0.6972195564282757,0.9402570580748216,0
275,3,True,,A,1.5996,2.0015,0.8546771076627613,0.8332075354912263,0.7118954176978404,0.8330741476495772,0.7511695748609415,0.9242570704395453,0.7333205205014355,0.9066975622230771,0
275,4,True,,A,1.7666,1.8198,0.6582714486011324,0.8035653465962402,0.5938918681695798,0.8514551563518336,0.4679074031051101,0.8118822932610464,0.7171532056401143,0.9505359718652816,0
275,5,True,,A,1.9526,1.6948,0.7086152200340008,0.7921740345256727,0.5824237432677377,0.8069090737684302,0.5064091898746984,0.8321468080176059,0.6649598685042926,0.9291829056081399,0
275,6,True,,A,1.7925,1.8086,0.7103049162491413,0.8475885438296098,0.6808054831948409,0.9013254855520977,0.5787236122028366,0.8240056973581957,0.7968546241995975,0.9793772696871353,0
275,7,True,,A,2.104,2.3398,0.5128419918200909,0.8456031610273604,0.48194321053187217,0.8914345102251341,0.2775631379459052,0.7506051406370986,0.6932977794868865,1.0186300627418576,2
275,8,True,,A,1.8774,1.7554,0.7167136327514274,0.8018918907994647,0.7034322004917846,0.8871482507574322,0.5718136946572671,0.835030725935255,0.7922882861966826,0.9625546916730853,0
275,9,True,,A,2.3467,2.1177,0.5687620812774355,0.7796205756271947,0.4858471038284761,0.8160676044280485,0.3079779089308794,0.7872564902692826,0.6704821448384943,0.9601212173354043,0
300,2,True,,A,1.6118,1.3916,0.9071412055256345,0.8661875035242652,0.7789722607719262,0.8624412215028232,0.6685673486257351,0.9682977540352021,0.6906017435223369,0.9396686068103668,0
300,3,True,,A,1.7285,1.5269,0.8275286720460975,0.7668919346213067,0.6473197626208816,0.7745242025017786,0.714672311765632,0.9062970024093063,0.6402036895582869,0.8690226795327219,0
300,4,True,,A,1.8633,1.6729,0.644265615926574,0.7344450954858917,0.515433271133358,0.7665375158364026,0.4715689606807968,0.8091676617001006,0.5663175719760614,0.901484846422748,1
300,5,True,,A,2.0303,1.5757,0.6899468550150417,0.7357361881248841,0.5423592220180038,0.760495684272346,0.4749139714064871,0.8348564057325005,0.5919188281594245,0.888037879913008,0
300,6,True,,A,2.0874,1.9502,0.7625800599630576,0.8204953380948229,0.6575728813890724,0.841138058221643,0.6138056860030309,0.8700686104751403,0.7305992532719806,0.9245784369339821,0
300,7,True,,A,2.3345,2.1489,0.49181920749795993,0.7833799910175694,0.47705329818049935,0.8716997990699595,0.28979195189578305,0.7266054880425222,0.6903200619652016,1.023894399230849,0
300,8,True,,A,2.0029,1.7104,0.6389092791951066,0.7697352635483559,0.6368186321413188,0.8759089713251278,0.44246723516053355,0.798126543534162,0.7670967535234823,0.9683756663200668,0
300,9,True,,A,1.9644,1.9951,0.5600819233172518,0.7279310453453369,0.43587121974307586,0.7526593132123647,0.3228617003103761,0.780480653991364,0.5279490688273005,0.9122373040553265,2
325,2,True,,A,1.5225,1.4932,0.9100857276834204,0.8827221855879448,0.8029926305943882,0.8825242523604551,0.656392463345359,0.9709633564579812,0.680329996942764,0.9523036905198907,0
325,3,True,,A,1.7148,1.5435,0.8429868229125153,0.7957879856701201,0.7126359264950795,0.8202045090832539,0.7250977646301685,0.9201215718721978,0.705342140658235,0.9011505036552531,0
325,4,True,,A,1.9873,1.5576,0.6189111046113147,0.6641674968580181,0.44436576025399976,0.6905497391402727,0.45487062590377075,0.7739386977681454,0.4640003394847174,0.849407755622485,1
325,5,True,,A,1.7236,1.7578,0.6626639420412368,0.7751564000156531,0.5127626991421176,0.7744728740692798,0.4587201618893236,0.8040685560222888,0.5894292655111527,0.8986527662069119,2
325,6,True,,A,1.897,2.0225,0.7911979809623141,0.8146704505144583,0.6772087416235211,0.8350446051253398,0.6780506625344699,0.8729239967932578,0.727506547271243,0.9085685471278095,0
325,7,True,,A,2.0107,2.5522,0.454753257621396,0.8378874030521358,0.4579419444335531,0.9185655067759787,0.26124894669427356,0.693537572857685,0.7718727028445902,1.045722592191002,0
325,8,True,,A,2.1543,1.9014,0.5835246495974006,0.8114131509954686,0.6124593601406836,0.9228477464536265,0.38819419580688236,0.7681054857650285,0.7947220392243451,1.0350007458669925,0
325,9,True,,A,2.0879,1.8823,0.5420002830487282,0.8216344218588216,0.40134453978564316,0.7800065246004487,0.29513787157727217,0.7708042074370249,0.5269661083447358,0.9192610037159484,12
350,2,True,,A,1.6089,1.5205,0.9193098949650413,0.8701280437369089,0.8109285094551949,0.8760964088270623,0.6958725535176613,0.9736904017903917,0.6443049852815127,0.9526804182236738,0
350,3,True,,A,1.6797,1.7646,0.8461464241121767,0.7117930558149445,0.6013053401475309,0.711216202755427,0.7559433444679923,0.9161466054860704,0.5550558335804737,0.8318168959093151,0
350,4,True,,A,2.1187,1.6021,0.6181315632266959,0.5925518534578487,0.32709691096953575,0.5599650760222993,0.45499574631654455,0.7796812680826735,0.2718480729077217,0.7665144578486204,40
350,5,True,,A,2.019,1.6328,0.6854816475921731,0.7364869897526198,0.47813316815017765,0.716735737545856,0.48014207691999433,0.8218414558875469,0.4806734517048927,0.8642038298174333,11
350,6,True,,A,1.7256,2.0337,0.7744560992590007,0.8201580304515473,0.6455882986422159,0.8268527852452054,0.6560858892858044,0.8620111709155326,0.722778770608123,0.9066312969252626,0
350,7,True,,A,1.8867,2.0098,0.4758487814385176,0.8387823716161342,0.4960642978988887,0.9351023584144053,0.2802109470759862,0.6878487854783372,0.8251070523949622,1.049119199328853,0
350,8,True,,A,2.2295,1.7334,0.6021062139320824,0.8328704251542598,0.6253800429456674,0.9300882860774126,0.4248453376420788,0.7738128483294523,0.8176992464668278,1.026405603611124,0
350,9,True,,A,2.0308,2.3188,0.5674882880849632,0.8067891036888619,0.46057036038409965,0.8091882232675821,0.28012454496475575,0.7945658181341778,0.6120644726342781,0.9615668270016278,9
375,2,True,,A,1.5566,1.4624,0.9293793920051646,0.8750533608120515,0.8303509236540891,0.8842021895185184,0.6966726454031663,0.9777674613850804,0.6498892204059655,0.9561578780332226,0
375,3,True,,A,1.5977,1.5645,0.8236612959214131,0.7021653050343979,0.5981883931282483,0.7141087340962519,0.722033578244432,0.900178938365758,0.5646014242485681,0.827310212724454,0
375,4,True,,A,1.7988,1.5991,0.6146131547348949,0.6204982108482693,0.4500029126735029,0.6740265495664459,0.46646850157583,0.7622925405838777,0.45703485240998765,0.8306310274727212,0
375,5,True,,A,1.6387,1.8628,0.7032851436267556,0.7426775878922889,0.5078469176748052,0.7323199203911135,0.5280642866970665,0.8229772538194942,0.5360192711058687,0.877469494918793,3
375,6,True,,A,1.9116,2.2896,0.7186488198918638,0.7709889138058378,0.6461315577151688,0.8325804036676294,0.5695850133387557,0.8337789186657316,0.7108704031663895,0.9264689853075292,0
375,7,True,,A,1.959,2.4121,0.4861017900196494,0.8196324644113945,0.5034723680339167,0.9213694026800409,0.2990663749428945,0.7064724482308097,0.7857432256059266,1.0748730651147897,0
375,8,True,,A,1.979,1.9048,0.5890394139370853,0.8371194726974138,0.6246317442797901,0.9421793258883691,0.4117696490685275,0.7701363133330755,0.8144805897074765,1.0469878375384774,0
375,9,True,,A,1.939,1.7075,0.6292684384734961,0.8322456999670438,0.48768611667731443,0.8031154878403305,0.3272213770221305,0.8294118825227913,0.6337223452116454,0.9125617950447672,2
400,2,True,,A,1.5083,1.5342,0.911488401124013,0.8615350419189738,0.8146223885053302,0.8774837263884685,0.6524772723367086,0.9715353903858327,0.6695449867879333,0.9518375348723821,0
400,3,True,,A,1.6743,1.6655,0.8359582955356094,0.7402907947157639,0.61855979423623,0.7401158629803496,0.7606698329260632,0.8989542813951075,0.5876354103255681,0.8468813721960752,0
400,4,True,,A,1.7607,1.5894,0.6139759594801854,0.6144423343444827,0.441011084264861,0.6643388257275006,0.4631290957354901,0.7599362299716084,0.43773227025995604,0.8229837627826734,0
400,5,True,,A,1.6636,1.7144,0.7016865265031309,0.7723262945988274,0.5780933677801889,0.7976784057555873,0.5388418570975828,0.818405455658489,0.6544307617367751,0.9005886416008565,0
400,6,True,,A,1.9463,2.0991,0.7488620583459472,0.838631131691708,0.6534859250775068,0.8554658859321199,0.6177640108454834,0.8440983735469458,0.7535766464757612,0.9340828708213883,0
400,7,True,,A,1.9604,2.0986,0.48747375398830406,0.8281279205821995,0.568540264474693,0.9827741129353363,0.28900605478456176,0.7042049574305699,0.8719155724871885,1.1526911815440708,0
400,8,True,,A,2.3374,1.9146,0.4995709156108787,0.8108118919597821,0.5699215733808891,0.9617651364914358,0.2840134303317789,0.7171959897415747,0.8354237291431565,1.1282782287495825,0
400,9,True,,A,2.0459,1.9575,0.5265920889614314,0.8290535237556544,0.443220881177263,0.835341823496776,0.2726570204915021,0.7599957123529951,0.6412321096019061,0.975570464039496,1
425,2,True,,A,1.6572,1.4258,0.937028664143073,0.8507147995388131,0.8271341817645277,0.8665697808908798,0.6764040332780252,0.9819105542913289,0.6179360140521589,0.9472936989387782,0
425,3,True,,A,1.7905,1.5938,0.8320581028016975,0.6169940783790331,0.5706849608232157,0.6505218444987986,0.7453877255906005,0.8958430804688204,0.47332820493877104,0.7908076135668981,0
425,4,True,,A,1.9863,1.7266,0.6277996122925626,0.42599321991621075,0.4098955795799524,0.5273845943604664,0.47045857417212733,0.7764138618311965,0.27414663608168044,0.7179367198616089,5
425,5,True,,A,1.9492,1.6279,0.749779363352072,0.6752619373802513,0.4778822501052062,0.6560392806423647,0.5659571923201188,0.8651749706719216,0.41917947353833473,0.8200543969520232,2
425,6,True,,A,1.7729,2.1064,0.7091453136325562,0.7778636354900557,0.6212291651256953,0.8254866121064505,0.5552324208631029,0.8273021311306245,0.6884686187421378,0.9297871566315156,0
425,7,True,,A,2.0977,2.3096,0.48984273038377946,0.8254856838749097,0.5707521516367874,0.9807317109984245,0.2770172265903865,0.7174713452951617,0.8725491255356349,1.1460870708317927,0
425,8,True,,A,2.4175,1.8833,0.48936440916263363,0.7656901795431788,0.49491831324243846,0.8799887302891536,0.308176606602616,0.6844820822333538,0.7147587379718282,1.0233167311005897,0
425,9,True,,A,2.3398,1.9365,0.5557096877911181,0.7742087026365357,0.47836423060864297,0.8163650234890241,0.28558661576490607,0.7898466384488495,0.6089294170880856,1.000327041460181,0
450,2,True,,A,1.5098,1.3965,0.9294837436464085,0.8567402550511908,0.8386414058325906,0.8792084183736103,0.677689568664852,0.9802666590838064,0.6173550008624767,0.9544646194711388,0
450,3,True,,A,1.6528,1.6655,0.8015715522773178,0.6241894034505782,0.5841264168502965,0.6744355771157801,0.7086298952332679,0.8796427280491956,0.4728975565555246,0.8255823987032076,0
450,4,True,,A,1.9355,1.7979,0.6626508070303412,0.5132059423883361,0.5089229888689809,0.6278118476212634,0.526635202510307,0.791793863649142,0.43336632784030993,0.7805606067812734,0
450,5,True,,A,1.7612,1.7417,0.7566987604647187,0.7315608899264348,0.6046482600932257,0.7645662659558161,0.5964407864366857,0.8571514555520567,0.6117925339068143,0.8816538803055283,0
450,6,True,,A,1.9189,2.1543,0.7407947070845879,0.806884677600808,0.6357552375252972,0.8321502964705129,0.6172558092171898,0.8384068856167711,0.7269633618241853,0.9129892012796452,0
450,7,True,,A,2.0034,1.9731,0.5340598370880641,0.8211704367804832,0.6097108302008459,0.9682413997659488,0.3365431518395839,0.7509491073847872,0.857011753505383,1.1075128794049391,0
450,8,True,,A,2.1025,1.6836,0.608430482594572,0.8019360742976365,0.5911754665732121,0.8827192434417618,0.4447382317137028,0.7788390821463798,0.7709560179108008,0.9758062623660311,0
450,9,True,,A,1.9429,2.1606,0.5693437543670966,0.8161597191876029,0.5041406281640455,0.8501120008166452,0.37076718465214953,0.7833558900412227,0.6421541937837189,0.9869555053670998,0
475,2,True,,A,1.5698,1.6006,0.9134508039886866,0.8783258450620124,0.8523691795349712,0.9053137548190643,0.6672467237835035,0.9735396493940888,0.6646615024050253,0.9641357072344143,0
475,3,True,,A,1.6812,1.5835,0.8229024909975623,0.6056615744439201,0.5429469701011707,0.6321491074150863,0.7229330250704817,0.9012841442924403,0.4352704995589471,0.7845667334010951,0
475,4,True,,A,2.0503,1.6206,0.6489770744640895,0.3801038699392898,0.4540648039686316,0.5156979295659742,0.49378964115345564,0.7940814647821287,0.26872459249842995,0.7025989945936798,2
